Name,Description
Loan Settlement Date,Date on which the loan was settled or is scheduled to settle
Loan Drawdown Date,Date when a loan is drawn down or first disbursed to the borrower
Loan Indicator,Indicates whether a loan has been drawn or not
Traders' Mark,A numerical value representing the traders' performance or contribution in the Loan IQ system
Trade Value,The value of a trade or transaction in the Loan IQ system
Funded Amount on Trade Date,The amount of funds drawn on the trade date for a loan
Loan Eligibility,Indicates whether a loan is eligible for a specific report or not
Cash Flow Type,"Type of cash flow related to a loan, such as principal or interest"
Pending Loan Currency,Currency denomination of the pending loan
Pending Loan Timestamps,Timestamps indicating when pending loan records were created or updated
Transaction Flow Direction,Indicates the direction of the transaction in the Loan IQ system
Maximum Loan Amount,The highest loan amount that can be approved for a borrower
Loan IQ Pending Run Identifier,Unique identifier for each pending run of the Loan IQ process
Data Origin,Identifies the source of the data in the system
Pending Loan Start Date,The date when a pending loan was scheduled to begin
Pending Loan Values,The current market value of pending loans in the Loan IQ system
Loan Cash Flow Type,"Type of cash flow related to a loan, such as principal or interest payments"
Loan IQ - Undrawn Timestamps,Timestamps indicating when the undrawn loan data was entered or updated in the system
Undrawn Loan Fee Rate,Interest rate applied to the undrawn portion of a loan
Flow Direction,Indicates the direction of the flow of funds for a loan or credit line
Maximum Undrawn Amount,The highest amount that can be borrowed but has not been drawn yet
Loan IQ - Undrawn Run Identifier,Unique identifier for each undrawn loan in the Loan IQ system
Loan Inquiry - Undrawn,Loan inquiries that have not yet been drawn upon by the borrower
Loan Term Indicator,A character string representing the type of loan term for undrawn loans
Trader's Mark,"A numerical value assigned to a trader, representing their performance or contribution to the company"
Undrawn Loan Balance,The outstanding balance of a loan that has not yet been withdrawn by the borrower
Maximum Uncommitted Undrawn Amount,The highest amount of untapped available funds in a loan account
Lockup Category,The category of a lockup situation in the system
Category Identifier,Unique identifier for categorizing items in the Lockup table
Lockup Status,Indicates whether a specific lockup has been set or not
Lockup Period,Time period during which funds are committed and cannot be withdrawn from an investment
Maximum Lockup Amount,The highest amount of funds that can be locked up in an investment
Sub-Category,A specific category within a broader classification
Subcategory Code,A unique identifier for categorizing data within a specific subcategory
Debt Currency,The currency in which the long-term debt is denominated
Long-Term Debt Instrument Identifier,Unique identifier for each long-term debt instrument in the financial records
Effective Date of Long-Term Debt,The date when a long-term debt obligation becomes effective or starts
Debt Maturity Date,The date on which a long-term debt is scheduled to be repaid in full
Long-Term Debt Entry Timestamp,The date and time when a long-term debt record was created or updated
Market Value of Long-Term Debt,The current market value of all long-term debt obligations
Debt Payoff,The amount or method of repaying a debt obligation
Long-Term Debt Securities Price,Market price of long-term debt securities issued by the company
